Sentences,File location,gloss_sequence,signer_id
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting.MP4,I SITTING CLASS,6
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (3).MP4,I FEVER SUFFERING  ,6
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (5).MP4,I TIRED,6
i can not help you there,ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\MVI_6399.MP4,I  HELP NOT,6
i do not agree,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not agree\agree (5).MP4,I AGREE DONOT ,6
i do not mean it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not mean it\mean (2).MP4,I  MEAN IT DO NOT,6
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy.MP4,I ENJOYED A LOT,6
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (4).MP4,I GOT HURT,6
i like you i love you,ISL_CSLRT_Corpus\Videos_Sentence_Level\i like you i love you\MVI_6814.MP4,,6
i promise,ISL_CSLRT_Corpus\Videos_Sentence_Level\i promise\promise (2).MP4,I PROMISE,6
i really appreciate it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i really appreciate it\i really appreciate it (5).MP4,I REALLY APPRECIATE IT,6
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow.MP4,I SOMEHOW GOT KNOW ABOUT IT,6
it does not make any difference to me,ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference (3).MP4,IT MAKE ANY DIFFERENCE  ME DO NOT ,6
it was nice chatting with you,ISL_CSLRT_Corpus\Videos_Sentence_Level\it was nice chatting with you\MVI_6724.MP4,YOU CHAT NICE,6
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (1).MP4,MY NAME XXXXXXXX,6
nice to meet you,ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (4).MP4,NICE MEET YOU,6
now onwards he will never hurt you,ISL_CSLRT_Corpus\Videos_Sentence_Level\now onwards he will never hurt you\never hurt (5).MP4,NOW ONWARDS HE HURT YOU NEVER ,6
prepare the bed,ISL_CSLRT_Corpus\Videos_Sentence_Level\prepare the bed\bed (2).MP4,PREPARE BED,6
serve the food,ISL_CSLRT_Corpus\Videos_Sentence_Level\serve the food\serve (4).MP4,FOOD SERVE ,6
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (3).MP4,OUTSIDE GO ,6
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly 1.MP4,SPEAK SOFTLY,6
tell me truth,ISL_CSLRT_Corpus\Videos_Sentence_Level\tell me truth\truth (2).MP4,TELL TRUTH,6
thank you so much,ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (5).MP4,THANK YOU SO MUCH,6
This place is beautiful,ISL_CSLRT_Corpus\Videos_Sentence_Level\This place is beautiful\beautiful (2).MP4,THIS PLACE BEAUTIFUL,6
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand (4).MP4,YOU TRY UNDERSTAND,6
turn on light turn off light,ISL_CSLRT_Corpus\Videos_Sentence_Level\turn on light turn off light\turn on.MP4,,6
wear the shirt,ISL_CSLRT_Corpus\Videos_Sentence_Level\wear the shirt\shirt (3).MP4, SHIRT WEAR,6
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (5).MP4, YOU DO WHAT,6
what do you do,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you do\what do you do (1).MP4,YOU DO WHAT ,6
what do you think,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you think\what do you think (5).MP4, DO YOU THINK WHAT,6
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happen.MP4,HAPPENED WHAT ,6
what is your phone number,ISL_CSLRT_Corpus\Videos_Sentence_Level\what is your phone number\what is your phone number (3).MP4, YOUR PHONE NUMBER WHAT,6
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (5).MP4,YOU WANT WHAT ,6
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (1).MP4,YOU FROM WHERE ,6
which collegeschool are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\which collegeschool are you from\school college (2).MP4,,6
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (2).MP4,YOU ANGRY WHY ,6
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (4).MP4, YOU CRY WHY,6
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed.MP4, YOU DISAPPOINTED WHY,6
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (2).MP4,YOU GOOD,6
you are welcome,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome (4).MP4,YOU WELCOME,6
you can do it,ISL_CSLRT_Corpus\Videos_Sentence_Level\you can do it\can do.MP4,YOU DO IT,6
"you need a medicine, take this one","ISL_CSLRT_Corpus\Videos_Sentence_Level\you need a medicine, take this one\medicine (4).MP4","YOU NEED A MEDICINE, TAKE THIS ONE",6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
,,,6
